,Внешний код,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст
791,SU198737,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа разработчиков,Младший инженер-разработчик,нет,"0 г., 6 мес.,14 дн.",Женский,23
800,SU167962,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа аналитиков,Системный аналитик,нет,"3 г., 2 мес.,23 дн.",Женский,31
813,SU175956,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Инженер,нет,"2 г., 1 мес.,29 дн.",Мужской,24
815,SU112309,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по защите инфраструктуры,Эксперт,нет,"5 г., 7 мес.,21 дн.",Мужской,38
817,SU172742,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа аналитиков по информационной безопасности,Системный аналитик,нет,"3 г., 1 мес.,8 дн.",Женский,32
819,SU81546,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Эксперт,нет,"9 г., 3 мес.,2 дн.",Мужской,30
822,SU80746,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа инженеров разработки облака,Инженер,нет,"4 г., 10 мес.,25 дн.",Женский,30
830,SU197607,Департамент телекоммуникаций,Сервис,группа техподдержки сетей передачи данных,Системный инженер,нет,"1 г., 0 мес.,9 дн.",Мужской,27
834,SU196252,Департамент продаж и менеджмента проектов,,группа администраторов проектов по инженерным и мультимедийным системам,Старший администратор проектов,нет,"1 г., 8 мес.,12 дн.",Женский,29
837,SU180025,Департамент внутренней автоматизации,,группа аналитиков 1С,Старший системный аналитик,нет,"2 г., 9 мес.,27 дн.",Женский,31
840,SU197941,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Младший инженер,нет,"0 г., 9 мес.,16 дн.",Мужской,25
856,SU79260,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа технических менеджеров,Технический менеджер,нет,"9 г., 6 мес.,12 дн.",Мужской,33
860,SU163965,Департамент инженерных и мультимедийных систем,Группа СКС и Автоматизации инженерных систем,,Старший инженер,нет,"3 г., 4 мес.,24 дн.",Мужской,41
862,SU160952,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по защите инфраструктуры,Системный инженер,нет,"3 г., 6 мес.,13 дн.",Мужской,34
867,SU196851,Департамент внутренней автоматизации,,центральная служба технической поддержки,Младший инженер технической поддержки,нет,"1 г., 4 мес.,10 дн.",Мужской,22
875,SU67486,Департамент инженерных и мультимедийных систем,группа инженеров по мультимедийным системам,,Системный инженер,нет,"11 г., 2 мес.,13 дн.",Женский,34
876,SU2064,Департамент разработки программного обеспечения,,группа системных инженеров,Ведущий системный инженер,нет,"19 г., 6 мес.,21 дн.",Мужской,51
881,SU3318,Департамент инженерных и мультимедийных систем,,,Финансовый аналитик,нет,"19 г., 1 мес.,24 дн.",Женский,40
889,SU83331,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа внедренцев,Руководитель группы,РМ,"9 г., 0 мес.,12 дн.",Мужской,41
891,SU77686,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Эксперт,нет,"9 г., 8 мес.,7 дн.",Мужской,37
911,SU189155,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Старший системный инженер,нет,"2 г., 2 мес.,30 дн.",Мужской,21
913,SU145719,Департамент телекоммуникаций,,группа технических менеджеров,Технический менеджер,нет,"4 г., 3 мес.,5 дн.",Мужской,31
914,SU197970,Департамент телекоммуникаций,Сервис,группа технической поддержки телефонии и Call-центров,Инженер,нет,"0 г., 9 мес.,16 дн.",Мужской,23
915,SU180313,Департамент разработки программного обеспечения,"Практика ""Time and Material""",группа разработчиков,Ведущий инженер-разработчик,нет,"2 г., 9 мес.,27 дн.",Мужской,48
916,SU193662,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Ведущий инженер-разработчик,нет,"1 г., 11 мес.,26 дн.",Мужской,42
918,SU171202,Департамент инфраструктурных решений и сервисов,группа администраторов сервисных проектов,,Старший администратор проектов,нет,"3 г., 1 мес.,12 дн.",Женский,32
924,SU173903,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Старший системный инженер,нет,"3 г., 1 мес.,4 дн.",Мужской,24
926,SU154116,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа разработчиков,Инженер-разработчик,нет,"3 г., 11 мес.,16 дн.",Женский,27
928,SU102278,Департамент телекоммуникаций,Сервис,группа технической поддержки телефонии и Call-центров,Ведущий инженер,нет,"6 г., 3 мес.,15 дн.",Мужской,33
931,SU136264,Департамент внутренней автоматизации,,центральная служба технической поддержки,Старший инженер технической поддержки,нет,"4 г., 10 мес.,16 дн.",Мужской,27
936,SU197169,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,,Младший системный инженер,нет,"1 г., 2 мес.,4 дн.",Мужской,21
942,SU92899,Департамент внутренней автоматизации,,группа аналитиков,Ведущий системный аналитик,нет,"7 г., 3 мес.,12 дн.",Женский,29
946,SU184273,Департамент внутренней автоматизации,,группа разработки 1С,Старший инженер-разработчик,нет,"2 г., 8 мес.,4 дн.",Мужской,30
952,SU160506,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Ведущий системный инженер,нет,"3 г., 6 мес.,20 дн.",Мужской,32
960,SU175926,Департамент бизнес-приложений,,Группа аналитиков по автоматизации бизнес-процессов,Консультант по внедрению бизнес-приложений,нет,"2 г., 9 мес.,14 дн.",Женский,22
961,SU157868,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,Аналитик SOC,нет,"3 г., 8 мес.,24 дн.",Мужской,27
965,SU192341,Департамент телекоммуникаций,Сервис,группа управления сервисными проектами,Администратор проектов,нет,"2 г., 0 мес.,8 дн.",Женский,28
967,SU3334,Департамент продаж и менеджмента проектов,,группа сметчиков,Эксперт,нет,"21 г., 9 мес.,12 дн.",Женский,45
973,SU179427,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки продаж облачных сервисов,Менеджер по продвижению решений,нет,"2 г., 10 мес.,5 дн.",Мужской,34
981,SU191166,Департамент бизнес-приложений,,Группа аналитиков и консультантов по внедрению Big Data и BI,Младший консультант по внедрению бизнес-приложений,нет,"2 г., 0 мес.,28 дн.",Мужской,24
982,SU162218,Департамент внутренней автоматизации,,центральная служба технической поддержки,Старший инженер технической поддержки,нет,"3 г., 6 мес.,6 дн.",Мужской,24
988,SU196164,Департамент инфраструктурных решений и сервисов,группа администраторов сервисных проектов,,Администратор проектов,нет,"1 г., 9 мес.,2 дн.",Женский,24
990,SU197087,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа аналитиков и внедренцев,Младший системный аналитик,нет,"1 г., 2 мес.,30 дн.",Женский,21
995,SU178878,Департамент бизнес-приложений,,Группа аналитиков и консультантов по внедрению Big Data и BI,Консультант по внедрению бизнес-приложений,нет,"2 г., 10 мес.,19 дн.",Женский,24
1000,SU189772,Департамент по работе с персоналом,,Развитие бренда работодателя,Менеджер по развитию бренда работодателя,нет,"2 г., 2 мес.,10 дн.",Женский,23
1001,SU177858,Департамент бизнес-приложений,,Группа разработки по Data и DWH,Старший инженер-разработчик бизнес-приложений,нет,"2 г., 11 мес.,3 дн.",Мужской,24
1002,SU150484,Департамент бизнес-приложений,,Группа аналитиков и консультантов по внедрению Big Data и BI,Ведущий консультант по внедрению бизнес-приложений,нет,"4 г., 1 мес.,10 дн.",Мужской,36
1003,SU1264,Департамент разработки программного обеспечения,"Практика ""Time and Material""",,Руководитель практики,РМ,"17 г., 2 мес.,12 дн.",Женский,40
1006,SU101142,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,Старший инженер,нет,"6 г., 4 мес.,27 дн.",Мужской,29
1008,SU44113,Департамент внутренней автоматизации,,группа разработки 1С,Ведущий инженер-разработчик,нет,"13 г., 6 мес.,7 дн.",Мужской,37
1010,SU195995,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,,Руководитель по эксплуатации инженерных систем ЦОД,нет,"1 г., 9 мес.,14 дн.",Мужской,33
1012,SU196937,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа управления облачными проектами,Менеджер облачных проектов,нет,"1 г., 2 мес.,11 дн.",Женский,29
1016,SU196973,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа системных инженеров,Технический писатель,нет,"1 г., 3 мес.,18 дн.",Женский,30
1019,SU38745,Департамент инфраструктурных решений и сервисов,группа обеспечения сервисных контрактов,,Ведущий сервис-менеджер,РМ,"14 г., 6 мес.,13 дн.",Мужской,36
1020,SU193920,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Технический менеджер,нет,"1 г., 11 мес.,11 дн.",Мужской,37
1024,SU173102,Департамент внутренней автоматизации,,группа разработки бизнес-приложений,Инженер-разработчик,нет,"3 г., 1 мес.,16 дн.",Мужской,23
1030,SU152388,Департамент внутренней автоматизации,,центральная служба технической поддержки,Старший инженер технической поддержки,нет,"4 г., 0 мес.,25 дн.",Мужской,30
1036,SU68135,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки продаж облачных сервисов,"Руководитель направления ""КРОК Облачные сервисы""",РМ,"11 г., 2 мес.,6 дн.",Мужской,35
1038,SU196661,Департамент по работе с персоналом,,отдел обучения,Менеджер по корпоративному обучению,нет,"1 г., 5 мес.,14 дн.",Женский,23
1039,SU178258,Департамент инфраструктурных решений и сервисов,,группа развития и сопровождения частных облаков,Инженер,нет,"2 г., 10 мес.,1 дн.",Мужской,30
1045,SU51817,Департамент продаж и менеджмента проектов,,группа управления проектами по программному консалтингу,Старший менеджер проектов,нет,"12 г., 5 мес.,23 дн.",Женский,44
1046,SU2362,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по вычислительной инфраструктуре,,"Руководитель практики ""Вычислительная инфраструктура""",РМ,"16 г., 4 мес.,6 дн.",Мужской,39
1047,SU189154,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,"Старший системный инженер, Тимлид",ТЛ,"2 г., 2 мес.,30 дн.",Женский,23
1050,SU183693,Департамент телекоммуникаций,Сервис,группа техподдержки сетей передачи данных,Системный инженер,нет,"2 г., 8 мес.,11 дн.",Мужской,40
1055,SU1760,Департамент внутренней автоматизации,,группа системных администраторов,Руководитель группы системных администраторов,РМ,"26 г., 8 мес.,23 дн.",Мужской,51
1065,SU114390,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,"Старший менеджер проектов, Тимлид",РМ,"5 г., 6 мес.,17 дн.",Женский,31
1066,SU189432,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,Младший сервис-менеджер,нет,"2 г., 2 мес.,24 дн.",Мужской,24
1067,SU49004,Департамент инженерных и мультимедийных систем,группа сервиса,,Ведущий инженер,нет,"12 г., 8 мес.,24 дн.",Мужской,43
1070,SU106947,Департамент инфраструктурных решений и сервисов,,группа инженеров поддержки инфраструктурного ПО,Ведущий инженер,РМ,"5 г., 11 мес.,9 дн.",Мужской,27
1078,SU145815,Департамент разработки программного обеспечения,,группа системных инженеров,Ведущий системный инженер,РМ,"4 г., 3 мес.,5 дн.",Мужской,31
1081,SU167484,Департамент телекоммуникаций,Сервис,Первая линия,"Инженер, Тимлид",ТЛ,"3 г., 2 мес.,20 дн.",Мужской,25
1092,SU146600,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа поддержки продаж решений по информационной безопасности,Менеджер по продвижению решений,нет,"4 г., 2 мес.,28 дн.",Мужской,33
1113,SU197275,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Младший инженер-разработчик,нет,"1 г., 2 мес.,7 дн.",Мужской,22
1124,SU196615,Департамент инфраструктурных решений и сервисов,группа клиентского сервиса,,Специалист,нет,"1 г., 5 мес.,1 дн.",Женский,23
1126,SU170682,Департамент продаж и менеджмента проектов,,группа управления проектами по построению корпоративных систем,Менеджер проектов,нет,"3 г., 1 мес.,1 дн.",Мужской,23
1133,SU172323,Департамент маркетинга,контакт-центр,,Ведущий оператор,нет,"3 г., 1 мес.,24 дн.",Женский,25
1138,SU197982,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Инженер,нет,"0 г., 10 мес.,7 дн.",Мужской,32
1146,SU181093,Отдел подготовки тендеров,,,Менеджер по работе с тендерами,нет,"2 г., 5 мес.,25 дн.",Женский,42
1157,SU181772,Департамент продаж и менеджмента проектов,,группа управления проектами и поддержки продаж,Менеджер проектов,нет,"2 г., 9 мес.,7 дн.",Мужской,29
1162,SU162810,Департамент бизнес-приложений,,группа консультантов по финансам,"Ведущий консультант по внедрению бизнес-приложений, Тимлид",ТЛ,"3 г., 5 мес.,14 дн.",Мужской,36
1164,SU158757,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,"Руководитель группы, Тимлид",РМ,"3 г., 7 мес.,23 дн.",Мужской,36
1167,SU197187,Департамент внутренней автоматизации,,группа разработки инфраструктурных приложений,Младший инженер-тестировщик,нет,"1 г., 2 мес.,17 дн.",Мужской,24
1192,SU166224,Департамент инфраструктурных решений и сервисов,группа инженеров систем управления ИТ-процессами,,Старший системный аналитик,нет,"3 г., 3 мес.,5 дн.",Женский,36
1195,SU196950,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Технический менеджер,нет,"1 г., 1 мес.,24 дн.",Женский,35
1196,SU165856,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа поддержки продаж решений по информационной безопасности,Старший менеджер по продвижению решений,нет,"3 г., 3 мес.,10 дн.",Мужской,30
1201,SU3688,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по сопровождению программной инфраструктуры,,"Старший технический менеджер, Тимлид",ТЛ,"16 г., 5 мес.,13 дн.",Мужской,41
1205,SU146059,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Ведущий системный инженер,нет,"4 г., 3 мес.,12 дн.",Мужской,41
1209,SU165565,Департамент инфраструктурных решений и сервисов,группа разработки частных облаков,,Эксперт,нет,"3 г., 3 мес.,27 дн.",Мужской,34
1211,SU41554,Департамент бизнес-приложений,,группа консультантов по финансам,Эксперт,нет,"14 г., 0 мес.,4 дн.",Женский,36
1215,SU1777,Департамент телекоммуникаций,,группа сетевых решений,"Эксперт, Тимлид",ТЛ,"15 г., 8 мес.,16 дн.",Мужской,41
1218,SU101039,Департамент внутренней автоматизации,,группа управления проектами,Менеджер проектов,нет,"6 г., 5 мес.,4 дн.",Мужской,27
1219,SU93687,Финансовый департамент,отдел бюджетирования и оптимизации финансового учета,,Ведущий экономист,нет,"7 г., 2 мес.,4 дн.",Женский,29
1228,SU41543,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по защите инфраструктуры,Руководитель группы,РМ,"13 г., 11 мес.,30 дн.",Мужской,37
1233,SU171291,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Инженер технической поддержки,нет,"3 г., 1 мес.,19 дн.",Мужской,24
1234,SU38765,Департамент внутренней автоматизации,,группа аналитиков 1С,Старший системный аналитик,нет,"14 г., 6 мес.,13 дн.",Женский,35
1237,SU43713,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы""",Технический менеджер,ТЛ,"13 г., 7 мес.,7 дн.",Мужской,36
1241,SU85987,Департамент бизнес-приложений,,Группа консультантов по автоматизации бизнес-процессов,Младший технический менеджер,нет,"8 г., 7 мес.,4 дн.",Мужской,33
1243,SU195,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа аналитиков,"Старший системный аналитик, Тимлид",ТЛ,"20 г., 3 мес.,6 дн.",Женский,45
1245,SU93613,Департамент маркетинга,контакт-центр,,Ведущий оператор,нет,"7 г., 2 мес.,15 дн.",Женский,28
1250,SU184892,Департамент телекоммуникаций,Сервис,группа техподдержки сетей передачи данных,Инженер технической поддержки,нет,"2 г., 6 мес.,26 дн.",Мужской,25
1251,SU106463,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки СУБД,Ведущий инженер-разработчик,нет,"5 г., 11 мес.,24 дн.",Мужской,43
1254,SU196612,Департамент бизнес-приложений,,группа консультантов по финансам,Ведущий консультант по внедрению бизнес-приложений,нет,"1 г., 5 мес.,10 дн.",Женский,43
1259,SU1267,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,,Эксперт,нет,"16 г., 11 мес.,10 дн.",Мужской,42
1260,SU131609,Департамент разработки программного обеспечения,Государственные информационные системы,росстат.группа тестировщиков,Старший инженер-тестировщик,нет,"4 г., 11 мес.,25 дн.",Мужской,41
1261,SU196706,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа поддержки продаж решений по информационной безопасности,Менеджер по продвижению решений,нет,"1 г., 4 мес.,20 дн.",Мужской,31
1263,SU71051,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа аналитиков и внедренцев,Старший консультант по внедрению,нет,"10 г., 8 мес.,6 дн.",Мужской,35
1265,SU163471,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа разработчиков,"Старший инженер-разработчик, Тимлид",ТЛ,"3 г., 5 мес.,8 дн.",Мужской,27
1269,SU108238,Финансовый департамент,,отдел учета основных средств и нематериальных активов,"Ведущий бухгалтер, Тимлид",ТЛ,"5 г., 10 мес.,8 дн.",Женский,29
1271,SU129209,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа аналитиков и внедренцев,Системный аналитик,нет,"5 г., 1 мес.,6 дн.",Женский,26
1275,SU45479,Департамент разработки программного обеспечения,,группа развития бизнеса,Директор по технологическому развитию,нет,"13 г., 2 мес.,24 дн.",Мужской,44
1276,SU126329,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа тестировщиков,Старший инженер-тестировщик,нет,"5 г., 1 мес.,2 дн.",Женский,38
1277,SU1787,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,Старший менеджер проектов,РМ,"16 г., 2 мес.,25 дн.",Мужской,37
1291,SU77659,Департамент продаж и менеджмента проектов,,группа администраторов BackOffice,Ведущий администратор проектов,нет,"9 г., 8 мес.,9 дн.",Женский,31
1297,SU66843,Департамент бизнес-приложений,,группа консультантов по технической архитектуре и разработке,Эксперт,РМ,"11 г., 3 мес.,3 дн.",Женский,34
1300,SU38243,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа аналитиков,Старший системный аналитик,нет,"14 г., 7 мес.,22 дн.",Женский,37
1303,SU198324,Департамент маркетинга,группа контента,,Младший контент-маркетолог,нет,"0 г., 8 мес.,3 дн.",Мужской,22
1306,SU197290,Департамент телекоммуникаций,Цифровое производство,группа инженеров цифрового производства,Старший инженер,нет,"1 г., 2 мес.,4 дн.",Мужской,22
1316,SU196837,Департамент маркетинга,группа контента,,Контент-маркетолог,нет,"1 г., 4 мес.,11 дн.",Мужской,25
1324,SU236,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа аналитиков,Ведущий аналитик,нет,"20 г., 9 мес.,6 дн.",Женский,45
1339,SU171910,Департамент бизнес-приложений,,группа консультантов по технической архитектуре и разработке,"Ведущий консультант по внедрению бизнес-приложений, Тимлид",ТЛ,"1 г., 11 мес.,24 дн.",Мужской,44
1345,SU142424,Департамент по работе с персоналом,отдел рекрутинга,,"Ведущий HR-менеджер, Тимлид",ТЛ,"4 г., 6 мес.,19 дн.",Женский,27
1347,SU195903,Департамент телекоммуникаций,,группа унифицированных коммуникаций,Менеджер по продвижению решений,нет,"1 г., 9 мес.,14 дн.",Мужской,38
1349,SU175547,Департамент маркетинга,группа внешних коммуникаций,,Старший менеджер по внешним коммуникациям,нет,"3 г., 0 мес.,7 дн.",Женский,28
1350,SU197140,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Ведущий инженер,нет,"1 г., 2 мес.,15 дн.",Мужской,34
1358,SU110288,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по вычислительной инфраструктуре,,Младший технический менеджер,нет,"5 г., 8 мес.,1 дн.",Мужской,28
1361,SU163713,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,Инженер,ТЛ,"3 г., 4 мес.,24 дн.",Мужской,27
1378,SU95816,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Менеджер продукта,РМ,"6 г., 10 мес.,28 дн.",Мужской,30
1385,SU69642,Департамент инфраструктурных решений и сервисов,группа пресейл-инженеров,,Руководитель группы,РМ,"10 г., 11 мес.,20 дн.",Мужской,30
1390,SU1675,Правовой департамент,группа комплексного сопровождения проектов,,Ведущий юрист,нет,"16 г., 11 мес.,3 дн.",Мужской,39
1393,SU158711,Департамент бизнес-приложений,,Группа консультантов по автоматизации бизнес-процессов,Консультант по внедрению бизнес-приложений,нет,"3 г., 8 мес.,8 дн.",Мужской,27
1397,SU196460,Департамент по работе с персоналом,,Геймификация,Менеджер по развитию корпоративной культуры,нет,"1 г., 6 мес.,28 дн.",Женский,22
1398,SU82602,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа внедренцев,Менеджер по внедрению,нет,"9 г., 1 мес.,11 дн.",Мужской,30
1400,SU93814,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,Ведущий инженер,нет,"7 г., 1 мес.,21 дн.",Мужской,29
1402,SU178438,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Старший инженер-разработчик,нет,"2 г., 10 мес.,24 дн.",Мужской,32
1403,SU81039,Департамент телекоммуникаций,,группа сетевых решений,Ведущий инженер,нет,"9 г., 3 мес.,2 дн.",Мужской,30
1414,SU111069,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа внедренцев,Консультант по внедрению,нет,"5 г., 8 мес.,19 дн.",Мужской,29
1419,SU171462,Департамент инфраструктурных решений и сервисов,,группа UNIX и Open Source,Младший инженер,нет,"3 г., 1 мес.,29 дн.",Мужской,26
1429,SU100415,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа маркетинга,"Ведущий контент-маркетолог, Тимлид",нет,"6 г., 6 мес.,7 дн.",Мужской,29
1430,SU71239,Департамент разработки программного обеспечения,"Практика ""Time and Material""",группа аналитиков,Старший системный аналитик,нет,"10 г., 7 мес.,6 дн.",Женский,45
1437,SU162184,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по защите инфраструктуры,Системный инженер,нет,"3 г., 5 мес.,28 дн.",Мужской,38
1439,SU193448,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа тестировщиков,Инженер-тестировщик,нет,"1 г., 11 мес.,1 дн.",Женский,22
1442,SU117892,Департамент инженерных и мультимедийных систем,Технические менеджеры по мультимедийным системам,,Технический менеджер,нет,"5 г., 5 мес.,5 дн.",Мужской,31
1443,SU190231,Департамент внутренней автоматизации,,центральная служба технической поддержки,Инженер технической поддержки,нет,"2 г., 2 мес.,3 дн.",Мужской,24
1444,SU64817,Департамент телекоммуникаций,Сервис,группа управления сервисными проектами,Ведущий сервис-менеджер,нет,"11 г., 6 мес.,24 дн.",Мужской,34
1445,SU44716,Департамент телекоммуникаций,Сервис,группа управления сервисными проектами,Администратор проектов,нет,"13 г., 5 мес.,6 дн.",Женский,36
1446,SU82112,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Ведущий инженер-разработчик,нет,"9 г., 1 мес.,15 дн.",Женский,45
1447,SU171484,Департамент бизнес-приложений,,группа консультантов по финансам,Консультант по внедрению бизнес-приложений,нет,"3 г., 1 мес.,29 дн.",Мужской,22
1479,SU97024,Департамент инженерных и мультимедийных систем,Группа СКС и Автоматизации инженерных систем,,"Ведущий инженер, Тимлид",ТЛ,"6 г., 9 мес.,16 дн.",Мужской,34
1481,SU104174,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Ведущий инженер,нет,"6 г., 2 мес.,3 дн.",Мужской,33
1486,SU74392,Правовой департамент,группа комплексного сопровождения проектов,,Ведущий юрист,нет,"10 г., 1 мес.,10 дн.",Мужской,33
1492,SU184940,Департамент разработки программного обеспечения,,группа системных инженеров,Инженер,нет,"2 г., 7 мес.,22 дн.",Мужской,25
1496,SU154486,Департамент бизнес-приложений,,Группа аналитиков по автоматизации бизнес-процессов,Старший консультант по внедрению бизнес-приложений,нет,"3 г., 11 мес.,8 дн.",Мужской,38
1501,SU190244,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров технической поддержки по информационной безопасности,Инженер технической поддержки,нет,"2 г., 2 мес.,3 дн.",Мужской,23
1503,SU3140,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа технических менеджеров по информационной безопасности,Старший технический менеджер,нет,"16 г., 4 мес.,15 дн.",Мужской,45
1504,SU64144,Департамент внутренней автоматизации,,группа системных администраторов,Инженер,нет,"11 г., 7 мес.,27 дн.",Мужской,32
1508,SU106458,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,Менеджер проектов,нет,"5 г., 11 мес.,24 дн.",Женский,30
1512,SU152466,Департамент инженерных и мультимедийных систем,,,Технический менеджер,РМ,"4 г., 0 мес.,13 дн.",Мужской,39
1516,SU96963,Департамент инженерных и мультимедийных систем,Технические менеджеры по мультимедийным системам,,Технический менеджер,нет,"6 г., 10 мес.,14 дн.",Мужской,35
1524,SU160950,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по сетевой безопасности,Старший системный инженер,нет,"3 г., 6 мес.,20 дн.",Мужской,27
