,Дата оформления заказа,Код сотрудника,Департамент,Наименование товара,Стоимость в валюте,Скидка,Количество,Категория,Статус товара
1319,06.09.2024 11:16,SU175926,ДБП.группа аналитиков по автоматизации бизнес-процессов,Кофе КРОК ,150,0,1,Сервис,закончился
1320,06.09.2024 11:15,SU187392,ДБП.группа аналитиков по автоматизации бизнес-процессов,Кофе КРОК ,150,0,1,Сервис,закончился
1324,06.09.2024 10:10,SU196818,ДВА.центральная служба технической поддержки,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1325,06.09.2024 9:18,SU331,ДРПО.группа развития бизнеса,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
1326,06.09.2024 9:08,SU196157,ДРПО.ГИС.суды. группа тестировщиков,Кофе КРОК ,150,0,1,Сервис,закончился
1337,05.09.2024 17:14,SU191051,ДБП.группа консультантов по автоматизации бизнес-процессов,Подписка на Правое Полушарие Интроверта на 1 месяц,250,0,1,Развивай себя,закончился
1343,05.09.2024 15:50,SU2101,ДРП.HR-партнеры,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1345,05.09.2024 15:27,SU167962,ДРПО.Управление контентом и документооборот.группа аналитиков,Лента,0,0,1,Мерч и сувениры КРОК,закончился
1349,05.09.2024 15:06,SU193448,ДРПО.ГИС.цифровые экосистемы.группа тестировщиков,Рубашка в стиле creative-casual,0,0,1,Мерч и сувениры КРОК,закончился
1350,05.09.2024 14:59,SU191168,ДБП.группа аналитиков и консультантов по внедрению Big Data и BI,Рубашка в стиле creative-casual,0,0,1,Мерч и сувениры КРОК,на витрине
1355,05.09.2024 14:35,SU198237,ДБП.группа технических менеджеров по 1С и автоматизации бизнес-процессов,Худи Super Manager,0,0,1,Мерч и сувениры КРОК,закончился
1356,05.09.2024 14:25,SU196758,ДВА.группа разработки бизнес-приложений,Рубашка в стиле creative-casual,0,0,1,Мерч и сувениры КРОК,закончился
1358,05.09.2024 14:12,SU43520,ДТК.Сервис.группа управления сервисными проектами,Толстовка HARD `24,2000,0,1,В стиле КРОК,на витрине
1359,05.09.2024 14:10,SU157666,ДПМП.группа управления проектами по телекоммуникациям,Пуф Крок ,3500,0,1,В стиле КРОК,закончился
1363,05.09.2024 13:35,SU198324,ДМ.группа контента,Сертификат на экстрим,0,0,1,Без категории,закончился
1364,05.09.2024 13:34,SU198324,ДМ.группа контента,Сертификат на досуг,0,0,1,Без категории,закончился
1366,05.09.2024 13:14,SU40207,ДИРС.группа управления сервисными проектами,Футболка SOFT `24,950,0,1,В стиле КРОК,на витрине
1367,05.09.2024 13:14,SU40207,ДИРС.группа управления сервисными проектами,Футболка HARD `24,950,0,1,В стиле КРОК,на витрине
1368,05.09.2024 12:58,SU72746,ДТК.Сервис.группа развития,Наушники TWS Xiaomi Redmi Buds 3 Pro,3000,0,1,Прокачай эффективность,закончился
1369,05.09.2024 12:47,SU166810,Служба качества,Толстовка HARD `24,2000,0,1,В стиле КРОК,на витрине
1370,05.09.2024 12:46,SU180139,ДПМП.группа управления проектами по телекоммуникациям,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1371,05.09.2024 12:44,SU153901,ДИРС.Информационная безопасность.группа развития бизнеса,Футболка HARD `24,0,100,1,В стиле КРОК,на витрине
1377,05.09.2024 12:17,SU545,ДИМС.технические менеджеры по инженерным системам,Лента,0,0,1,Мерч и сувениры КРОК,закончился
1379,05.09.2024 12:09,SU126189,ДБП.группа аналитиков по автоматизации бизнес-процессов,Кофе КРОК ,150,0,1,Сервис,закончился
1380,05.09.2024 11:59,SU134181,ДИРС.группа инженеров по вычислительной инфраструктуре,Олимпийка SOFT `24,2000,0,1,В стиле КРОК,на витрине
1382,05.09.2024 11:57,SU197982,ДИМС.Группа электроснабжения и климатических систем,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1385,05.09.2024 11:46,SU196614,ДИМС.группа инженеров по мультимедийным системам,Рубашка в стиле creative-casual,0,0,1,Мерч и сувениры КРОК,закончился
1386,05.09.2024 11:43,SU197982,ДИМС.Группа электроснабжения и климатических систем,Рубашка в стиле creative-casual,0,0,1,Мерч и сувениры КРОК,закончился
1387,05.09.2024 11:40,SU147920,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Рубашка в стиле creative-casual,0,0,1,Мерч и сувениры КРОК,закончился
1391,05.09.2024 11:21,SU2785,ДРПО.ГИС.цифровые экосистемы.группа тестировщиков,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1392,05.09.2024 11:19,SU131450,ДРПО.ГИС.выборы. группа внедренцев,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1393,05.09.2024 11:14,SU44374,ДТК.группа сетевых решений,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1395,05.09.2024 11:04,SU48759,ДРПО.ГИС.выборы. группа аналитиков,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1396,05.09.2024 11:03,SU77876,ДРПО.ГИС.цифровые экосистемы.группа тестировщиков,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1405,05.09.2024 9:38,SU40133,ДРПО.ГИС.росстат. группа аналитиков,Рубашка в стиле creative-casual,0,0,1,Мерч и сувениры КРОК,закончился
1406,05.09.2024 9:12,SU196157,ДРПО.ГИС.суды. группа тестировщиков,Кофе КРОК ,150,0,1,Сервис,закончился
1407,05.09.2024 9:08,SU40092,ДРПО.Интеграционные решения.группа разработки,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1409,05.09.2024 9:00,SU41089,ДРПО.Управление контентом и документооборот.группа разработчиков,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1412,05.09.2024 8:46,SU180313,"ДРПО.Практика ""Time and Material"".группа разработчиков",Лента,0,0,1,Мерч и сувениры КРОК,закончился
1416,05.09.2024 6:02,SU43713,"ДРПО.КИС.Практика ""Медицинские информационные системы""",Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1417,04.09.2024 22:29,SU40848,ДИРС.группа технических менеджеров по программной инфраструктуре,Толстовка HARD `24,2000,0,1,В стиле КРОК,на витрине
1418,04.09.2024 22:03,SU190231,ДВА.центральная служба технической поддержки,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
1422,04.09.2024 19:20,SU197169,ДИРС.группа инженеров по ИТ-инфраструктуре и мониторингу,Худи CROC Voices,600,0,1,В стиле КРОК,закончился
1427,04.09.2024 18:46,SU125577,ПД.группа комплексного сопровождения проектов,Олимпийка SOFT `24,2000,0,1,В стиле КРОК,закончился
1428,04.09.2024 18:44,SU125577,ПД.группа комплексного сопровождения проектов,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
1429,04.09.2024 18:43,SU125577,ПД.группа комплексного сопровождения проектов,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1430,04.09.2024 18:38,SU86537,ПД.группа комплексного сопровождения проектов,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
1431,04.09.2024 18:26,SU154792,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1432,04.09.2024 18:12,SU158552,ДИРС.группа управления сервисными проектами,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
1433,04.09.2024 18:10,SU40207,ДИРС.группа управления сервисными проектами,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1434,04.09.2024 18:05,SU109788,ДРПО.ГИС.росстат.группа тестировщиков,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1435,04.09.2024 17:57,SU129589,ДВА.центральная служба технической поддержки,Лента,0,0,1,Мерч и сувениры КРОК,закончился
1437,04.09.2024 17:45,SU196811,ДИМС.группа систем безопасности,Лента,0,0,1,Мерч и сувениры КРОК,закончился
1438,04.09.2024 17:41,SU95816,ДИРС.Облачные сервисы.группа разработки облака,Полароид,0,0,1,Сервис,закончился
1439,04.09.2024 17:41,SU95816,ДИРС.Облачные сервисы.группа разработки облака,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
1440,04.09.2024 17:41,SU196933,ДИРС.Облачные сервисы.группа управления облачными проектами,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1442,04.09.2024 17:37,SU95816,ДИРС.Облачные сервисы.группа разработки облака,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1444,04.09.2024 17:34,SU197958,"ДРПО.Практика ""Time and Material""",Рубашка в стиле creative-casual,0,0,0,Мерч и сувениры КРОК,Возвращён
1445,04.09.2024 17:33,SU197819,ДИМС.Группа электроснабжения и климатических систем,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1446,04.09.2024 17:31,SU197958,"ДРПО.Практика ""Time and Material""",Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1449,04.09.2024 17:17,SU1689,ДИРС.группа поддержки продаж решений по вычислительной инфраструктуре,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1450,04.09.2024 17:16,SU101878,ДИРС.группа администраторов сервисных проектов,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1451,04.09.2024 17:16,SU193840,"АЭД.служба охраны труда, пожарной безопасности и гражданской обороны",Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1454,04.09.2024 16:58,SU84101,ДРП.отдел кадров,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1456,04.09.2024 16:55,SU94470,ДИМС.технические менеджеры по инженерным системам,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
1457,04.09.2024 16:52,SU104174,ДИМС.Группа электроснабжения и климатических систем,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1458,04.09.2024 16:49,SU141750,ДИРС.группа поддержки продаж решений по программной инфраструктуре,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1459,04.09.2024 16:47,SU74488,ДРПО.Интеграционные решения,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
1462,04.09.2024 16:29,SU103239,ДТК.Сервис.группа техподдержки сетей передачи данных,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
1463,04.09.2024 16:29,SU103239,ДТК.Сервис.группа техподдержки сетей передачи данных,Шоппер КРОК FEST TOUR,400,0,1,КРОК FEST TOUR,закупка
1464,04.09.2024 16:27,SU175184,ДТК.группа сетевых решений,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
1468,04.09.2024 16:25,SU138283,ДРПО.ГИС.суды. группа аналитиков и внедренцев,Поясная сумка КРОК FEST TOUR,800,0,1,КРОК FEST TOUR,закончился
1471,04.09.2024 16:23,SU74392,ПД.группа комплексного сопровождения проектов,Лента,0,0,1,Мерч и сувениры КРОК,закончился
1473,04.09.2024 16:22,SU103239,ДТК.Сервис.группа техподдержки сетей передачи данных,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1475,04.09.2024 16:21,SU147920,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1477,04.09.2024 16:15,SU3224,Служба сопровождения проектной документации,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1478,04.09.2024 16:13,SU173251,ДИМС.Группа электроснабжения и климатических систем,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1479,04.09.2024 16:11,SU48062,ФД.группа финансовых партнеров,Рубашка в стиле creative-casual,0,0,1,Мерч и сувениры КРОК,на витрине
1480,04.09.2024 16:11,SU191676,ДИРС.Информационная безопасность.группа развития бизнеса,Футболка SOFT `24,950,0,1,В стиле КРОК,на витрине
1483,04.09.2024 16:05,SU196623,ДИРС.группа инженеров по инфраструктурному ПО,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
1484,04.09.2024 16:04,SU155069,ДБП.группа аналитиков и консультантов по внедрению Big Data и BI,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
1485,04.09.2024 16:03,SU191168,ДБП.группа аналитиков и консультантов по внедрению Big Data и BI,Рубашка в стиле creative-casual,0,0,0,Мерч и сувениры КРОК,Возвращён
1486,04.09.2024 16:02,SU197110,ДИРС.группа управления сервисными проектами,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1487,04.09.2024 16:01,SU155069,ДБП.группа аналитиков и консультантов по внедрению Big Data и BI,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1489,04.09.2024 16:00,SU165448,ДПМП.группа управления проектами по телекоммуникациям,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1491,04.09.2024 16:00,SU190411,ДРП.отдел кадров,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1492,04.09.2024 16:00,SU196712,ДРП.отдел кадров,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1493,04.09.2024 15:59,SU148131,ДПМП.группа управления проектами по программному консалтингу,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1494,04.09.2024 15:59,SU191024,ДИРС.группа управления сервисными проектами,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1495,04.09.2024 15:59,SU191168,ДБП.группа аналитиков и консультантов по внедрению Big Data и BI,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1496,04.09.2024 15:59,SU168942,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1497,04.09.2024 15:59,SU76490,ДВА.группа автоматизации производственных процессов,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1498,04.09.2024 15:59,SU90939,ДИМС.группа систем безопасности,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1499,04.09.2024 15:59,SU196633,ДРП.Геймификация,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1501,04.09.2024 15:58,SU121314,ДПМП.группа администраторов проектов по ИТ-системам и программным решениям,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1503,04.09.2024 15:57,SU82602,ДРПО.ГИС.выборы. группа внедренцев,Лента,0,0,1,Мерч и сувениры КРОК,закончился
1504,04.09.2024 15:57,SU145815,ДРПО.группа системных инженеров,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1505,04.09.2024 15:55,SU1337,ДРПО.ГИС.цифровые экосистемы.группа технических менеджеров,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1506,04.09.2024 15:54,SU44716,ДТК.Сервис.группа управления сервисными проектами,Лента,0,0,1,Мерч и сувениры КРОК,закончился
1507,04.09.2024 15:53,SU157951,ДБП.группа технических менеджеров по 1С и автоматизации бизнес-процессов,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1508,04.09.2024 15:52,SU196741,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,Лента,0,0,1,Мерч и сувениры КРОК,закончился
1511,04.09.2024 15:50,SU220,ДИРС.группа инженеров по ИТ-инфраструктуре и мониторингу,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
1512,04.09.2024 15:49,SU197284,ДИРС.Облачные сервисы.группа разработки облака,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
1513,04.09.2024 15:49,SU172323,ДМ.контакт-центр,Футболка <лето в КРОК> brainz by CROC,650,0,1,Мерч и сувениры КРОК,на витрине
1514,04.09.2024 15:49,SU172323,ДМ.контакт-центр,Чехол на пропуск Soft&Hard ,400,0,1,В стиле КРОК,закончился
1515,04.09.2024 15:49,SU172323,ДМ.контакт-центр,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1518,04.09.2024 15:48,SU183834,ДИРС.группа поддержки продаж решений по вычислительной инфраструктуре,Лента,0,0,1,Мерч и сувениры КРОК,закончился
1519,04.09.2024 15:48,SU42049,ДИРС.группа развития бизнеса,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1521,04.09.2024 15:45,SU3224,Служба сопровождения проектной документации,Футболка <лето в КРОК> brainz by CROC,650,0,1,Мерч и сувениры КРОК,на витрине
1522,04.09.2024 15:43,SU547,ДРПО.ГИС.выборы. группа разработчиков,Лента,0,0,1,Мерч и сувениры КРОК,закончился
1524,04.09.2024 15:43,SU196383,ДИРС.группа менеджеров по работе с партнерами,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
1525,04.09.2024 15:42,SU77659,ДПМП.группа администраторов BackOffice,Рубашка в стиле creative-casual,0,0,1,Мерч и сувениры КРОК,закончился
1528,04.09.2024 15:40,SU152405,ДРПО.группа системных инженеров,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1529,04.09.2024 15:40,SU168925,ДПМП.группа сметчиков,Лента,0,0,1,Мерч и сувениры КРОК,закончился
1532,04.09.2024 15:39,SU163965,ДИМС.группа СКС и Автоматизации инженерных систем,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1534,04.09.2024 15:38,SU102278,ДТК.Сервис.группа технической поддержки телефонии и Call-центров,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
1536,04.09.2024 15:37,SU146744,ДПМП.группа администраторов BackOffice,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1537,04.09.2024 15:37,SU122631,ДТК.Сервис.группа техподдержки сетей передачи данных,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
1538,04.09.2024 15:34,SU196772,ДИРС.группа инженеров систем управления ИТ-процессами,Футболка <лето в КРОК> brainz by CROC,650,0,1,Мерч и сувениры КРОК,на витрине
1543,04.09.2024 14:38,SU189154,ДИРС.группа инженеров по инфраструктурному ПО,Кофе КРОК ,300,0,2,Сервис,закончился
1545,04.09.2024 13:22,SU74488,ДРПО.Интеграционные решения,Наушники TWS Xiaomi Redmi Buds 3 Pro,3000,0,1,Прокачай эффективность,закончился
1546,04.09.2024 13:15,SU196835,ДПМП.группа управления проектами по вычислительной инфраструктуре ЦОД,Футболка SOFT `24,950,0,1,В стиле КРОК,на витрине
1547,04.09.2024 13:15,SU196835,ДПМП.группа управления проектами по вычислительной инфраструктуре ЦОД,Футболка HARD `24,950,0,1,В стиле КРОК,на витрине
1558,04.09.2024 10:37,SU3297,ДРПО.Продуктовый офис,Кофе КРОК ,150,0,1,Сервис,закончился
1559,04.09.2024 10:28,SU174144,ДРПО.Управление контентом и документооборот.группа внедренцев,Лента,0,0,1,Мерч и сувениры КРОК,закончился
1564,03.09.2024 17:44,SU196565,ДИМС.группа систем безопасности,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1565,03.09.2024 16:59,SU197110,ДИРС.группа управления сервисными проектами,Чехол на пропуск Soft&Hard ,400,0,1,В стиле КРОК,закончился
1566,03.09.2024 16:53,SU173967,ДРПО.ГИС.выборы. группа внедренцев,Лента,0,0,1,Мерч и сувениры КРОК,закончился
1571,03.09.2024 15:52,SU163106,ДРПО.ГИС.выборы. группа тестировщиков,Мячик-антистресс,400,0,1,Поймай баланс,закончился
1577,03.09.2024 13:37,SU189154,ДИРС.группа инженеров по инфраструктурному ПО,Кофе КРОК ,300,0,2,Сервис,закончился
1579,03.09.2024 13:04,SU196565,ДИМС.группа систем безопасности,Кофе КРОК ,150,0,1,Сервис,закончился
1580,03.09.2024 12:49,SU167962,ДРПО.Управление контентом и документооборот.группа аналитиков,Свитшот SOFT `24,1400,0,1,В стиле КРОК,на витрине
1581,03.09.2024 12:49,SU40844,ДИРС.Облачные сервисы.группа эксплуатации облачных сервисов,Носки SOFT&HARD '24,460,0,2,Мерч и сувениры КРОК,закупка
1582,03.09.2024 12:48,SU40844,ДИРС.Облачные сервисы.группа эксплуатации облачных сервисов,Толстовка HARD `24,2000,0,1,В стиле КРОК,на витрине
1583,03.09.2024 12:48,SU40844,ДИРС.Облачные сервисы.группа эксплуатации облачных сервисов,Лента,0,0,1,Мерч и сувениры КРОК,закончился
1590,03.09.2024 10:48,SU197819,ДИМС.Группа электроснабжения и климатических систем,Носки SOFT&HARD '24,230,0,1,Мерч и сувениры КРОК,закупка
1595,03.09.2024 9:54,SU146744,ДПМП.группа администраторов BackOffice,Кофе КРОК ,150,0,1,Сервис,закончился
1596,03.09.2024 9:32,SU189772,ДРП.Развитие бренда работодателя,Лента,0,0,1,Мерч и сувениры КРОК,закончился
1598,03.09.2024 1:09,SU191051,ДБП.группа консультантов по автоматизации бизнес-процессов,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
1599,02.09.2024 23:15,SU196069,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,Носки SOFT&HARD '24,230,0,1,Мерч и сувениры КРОК,закупка
1600,02.09.2024 23:15,SU196069,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,Носки SOFT&HARD '24,230,0,1,Мерч и сувениры КРОК,закупка
1601,02.09.2024 23:14,SU196069,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,Свитшот SOFT `24,1400,0,1,В стиле КРОК,закончился
1602,02.09.2024 20:31,SU196672,ДРП.Корпоративная культура,Побег из города,0,0,1,Без категории,закончился
1603,02.09.2024 18:35,SU107761,ДИМС.группа инженеров по мультимедийным системам,Кофе коллеге,150,0,1,Лучше вместе,закончился
1605,02.09.2024 16:57,SU145719,ДТК.группа технических менеджеров,Бобер-антистресс,250,0,1,Мерч и сувениры КРОК,закончился
1610,02.09.2024 15:19,SU196672,ДРП.Корпоративная культура,Олимпийка SOFT `24,2000,0,1,В стиле КРОК,закончился
1611,02.09.2024 15:08,SU198186,ДИРС.Облачные сервисы.группа специалистов поддержки ИТ-инфраструктур,Кофе КРОК ,150,0,1,Сервис,закончился
1613,02.09.2024 14:19,SU41337,"ДРПО.Практика ""Time and Material"".группа тестировщиков",Подписка Яндекс плюс  ,200,0,1,Поймай баланс,закончился
1615,02.09.2024 13:30,SU196565,ДИМС.группа систем безопасности,Олимпийка SOFT `24,2000,0,1,В стиле КРОК,на витрине
1616,02.09.2024 12:27,SU180313,"ДРПО.Практика ""Time and Material"".группа разработчиков",Свитшот SOFT `24,1400,0,1,В стиле КРОК,на витрине
1617,02.09.2024 12:13,SU196672,ДРП.Корпоративная культура,Рубашка в стиле creative-casual,0,0,1,Мерч и сувениры КРОК,закончился
1619,02.09.2024 11:39,SU178438,ДРПО.Управление контентом и документооборот.группа разработчиков,Подписка Яндекс плюс  ,200,0,1,Поймай баланс,закончился
1621,02.09.2024 11:19,SU65368,ДИМС.Группа электроснабжения и климатических систем,Кофе коллеге,150,0,1,Лучше вместе,закончился
1622,02.09.2024 11:17,SU190970,ДТК.Сервис.группа техподдержки сетей передачи данных,Свитшот SOFT `24,1400,0,1,В стиле КРОК,на витрине
1625,02.09.2024 10:33,SU148060,ДТК.Сервис.группа техподдержки сетей передачи данных,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
1626,02.09.2024 10:28,SU3224,Служба сопровождения проектной документации,Футболка SOFT `24,950,0,1,В стиле КРОК,на витрине
1629,02.09.2024 10:00,SU3297,ДРПО.Продуктовый офис,Кофе КРОК ,150,0,1,Сервис,закончился
1631,02.09.2024 8:14,SU131450,ДРПО.ГИС.выборы. группа внедренцев,Рубашка в стиле creative-casual,0,0,1,Мерч и сувениры КРОК,закончился
1632,01.09.2024 18:10,SU197169,ДИРС.группа инженеров по ИТ-инфраструктуре и мониторингу,ОбуЧАЙ пак,0,0,1,Без категории,закупка
1633,01.09.2024 10:52,SU163965,ДИМС.группа СКС и Автоматизации инженерных систем,Свитшот SOFT `24,1400,0,1,В стиле КРОК,на витрине
1634,31.08.2024 1:57,SU190414,ДРПО.ГИС.выборы. группа аналитиков,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
1653,30.08.2024 12:15,SU100524,"АЭД.служба охраны труда, пожарной безопасности и гражданской обороны",Кофе коллеге,150,0,1,Лучше вместе,закончился
1657,30.08.2024 10:37,SU187392,ДБП.группа аналитиков по автоматизации бизнес-процессов,Кофе КРОК ,150,0,1,Сервис,закончился
1658,30.08.2024 9:56,SU129209,ДРПО.ГИС.суды. группа аналитиков и внедренцев,Лента,0,0,1,Мерч и сувениры КРОК,закончился
1661,29.08.2024 23:27,SU184805,ДИРС.Облачные сервисы.группа внедрения и эксплуатации облачных ИТ-инфраструктур,"Значок ""Маяк""",0,0,1,Лучше вместе,на витрине
1662,29.08.2024 23:27,SU184805,ДИРС.Облачные сервисы.группа внедрения и эксплуатации облачных ИТ-инфраструктур,"Значок ""Маяк""",0,0,1,Лучше вместе,на витрине
1663,29.08.2024 23:27,SU184805,ДИРС.Облачные сервисы.группа внедрения и эксплуатации облачных ИТ-инфраструктур,"Значок ""Компас""",0,0,1,Лучше вместе,на витрине
1664,29.08.2024 23:23,SU184805,ДИРС.Облачные сервисы.группа внедрения и эксплуатации облачных ИТ-инфраструктур,Пуф Крок ,3500,0,1,В стиле КРОК,закончился
1665,29.08.2024 18:32,SU197290,ДТК.Цифровое производство.группа инженеров цифрового производства,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
1666,29.08.2024 18:31,SU197290,ДТК.Цифровое производство.группа инженеров цифрового производства,Побег из города,0,0,1,Без категории,закончился
1672,29.08.2024 15:56,SU101116,ДИРС.группа инженеров поддержки баз данных,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
1676,29.08.2024 14:07,SU78638,ДРПО.ГИС.росстат.группа тестировщиков,Футболка <лето в КРОК> brainz by CROC,650,0,1,Мерч и сувениры КРОК,на витрине
1677,29.08.2024 14:07,SU78638,ДРПО.ГИС.росстат.группа тестировщиков,Футболка КРОК Soft,800,0,1,В стиле КРОК,закончился
1678,29.08.2024 14:06,SU78638,ДРПО.ГИС.росстат.группа тестировщиков,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
1684,29.08.2024 12:39,SU197982,ДИМС.Группа электроснабжения и климатических систем,Футболка HARD `24,950,0,1,В стиле КРОК,на витрине
1686,29.08.2024 12:04,SU165854,ДИРС.группа клиентского сервиса,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
1689,29.08.2024 11:32,SU85286,ДРПО.ГИС.цифровые экосистемы.группа аналитиков и внедренцев,Худи CROC Voices,600,0,1,В стиле КРОК,закончился
1691,29.08.2024 11:29,SU85286,ДРПО.ГИС.цифровые экосистемы.группа аналитиков и внедренцев,Футболка <лето в КРОК> brainz by CROC,650,0,1,Мерч и сувениры КРОК,на витрине
1692,29.08.2024 11:20,SU197819,ДИМС.Группа электроснабжения и климатических систем,Рубашка в стиле creative-casual,0,0,1,Мерч и сувениры КРОК,на витрине
1693,29.08.2024 11:20,SU172323,ДМ.контакт-центр,Кофе КРОК ,150,0,1,Сервис,закончился
1696,29.08.2024 10:33,SU167962,ДРПО.Управление контентом и документооборот.группа аналитиков,Кофе КРОК ,150,0,1,Сервис,закончился
1699,29.08.2024 10:22,SU193840,"АЭД.служба охраны труда, пожарной безопасности и гражданской обороны",Футболка HARD `24,950,0,1,В стиле КРОК,на витрине
1705,28.08.2024 21:04,SU93394,ПД.группа комплексного сопровождения проектов,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
1707,28.08.2024 18:47,SU163106,ДРПО.ГИС.выборы. группа тестировщиков,ОбуЧАЙ пак,0,0,1,Без категории,закупка
1724,28.08.2024 13:02,SU167486,ДИРС.группа разработки частных облаков,Подписка Яндекс плюс  ,200,0,1,Поймай баланс,закончился
1725,28.08.2024 12:56,SU197110,ДИРС.группа управления сервисными проектами,Рубашка в стиле creative-casual,0,0,1,Мерч и сувениры КРОК,закончился
1726,28.08.2024 12:16,SU197982,ДИМС.Группа электроснабжения и климатических систем,Рубашка в стиле creative-casual,0,0,0,Мерч и сувениры КРОК,Возвращён
